date,AAPL_jp,MSFT_jp,TOPIX,JGB10Y
2023-03-20,109.54,108.65,97.2,101.59
2023-03-21,110.22,107.51,99.12,101.28
2023-03-22,111.33,107.03,97.73,101.47
2023-03-23,109.55,107.25,97.23,101.57
2023-03-24,108.58,109.34,96.88,101.69
2023-03-27,107.96,109.14,96.98,101.74
2023-03-28,106.25,109.82,96.63,101.79
2023-03-29,108.88,111.77,96.56,101.97
2023-03-30,108.17,112.56,96.64,101.75
2023-03-31,108.69,114.11,96.57,101.52
2023-04-03,108.34,113.46,96.67,101.55
2023-04-04,110.77,114.6,94.39,101.56
2023-04-05,112.85,114.55,94.83,101.6
2023-04-06,113.88,116.14,93.51,101.91
2023-04-07,110.49,114.71,91.5,101.8
2023-04-10,110.6,113.62,92.8,101.95
2023-04-11,111.69,115.49,91.62,102.03
2023-04-12,113.29,115.23,91.8,102.49
2023-04-13,112.36,114.75,91.1,102.22
2023-04-14,115.26,114.89,90.49,102.12
2023-04-17,113.21,113.93,90.95,102.04
2023-04-18,112.21,115.89,90.01,102.29
2023-04-19,113.71,114.11,90.36,102.14
2023-04-20,113.82,113.93,90.72,102.46
2023-04-21,117.06,114.46,91.8,102.78
2023-04-24,117.4,114.34,91.51,102.95
2023-04-25,116.41,113.22,92.49,103.04
2023-04-26,115.83,112.02,94.12,102.74
2023-04-27,114.13,112.65,95.65,102.78
2023-04-28,112.16,111.23,96.23,102.51
2023-05-01,113.18,112.17,96.68,102.44
2023-05-02,114.13,110.07,99.52,102.48
2023-05-03,116.23,109.33,101.8,102.43
2023-05-04,115.06,109.41,101.03,102.62
2023-05-05,117.82,107.73,101.99,102.59
2023-05-08,117.38,108.65,102.62,102.3
2023-05-09,120.01,108.65,102.71,102.1
2023-05-10,119.33,107.27,102.89,101.86
2023-05-11,118.15,105.27,103.41,101.8
2023-05-12,118.6,103.24,104.41,102.04
2023-05-15,120.34,103.34,104.65,102.14
2023-05-16,120.65,101.87,105.03,102.21
2023-05-17,119.71,100.16,106.53,101.97
2023-05-18,117.54,99.9,106.88,102.43
2023-05-19,115.31,102.83,107.49,102.43
2023-05-22,116.15,103.22,108.58,102.9
2023-05-23,117.79,104.25,110.4,102.74
2023-05-24,117.56,104.56,111.79,102.63
2023-05-25,115.86,105.62,112.23,103.14
2023-05-26,117.3,103.88,112.49,102.94
2023-05-29,115.27,103.35,111.12,103.02
2023-05-30,114.18,103.72,111.47,102.96
2023-05-31,115.2,103.72,110.32,102.8
2023-06-01,111.69,103.5,109.21,103.23
2023-06-02,112.33,102.66,109.94,103.04
2023-06-05,111.46,102.36,109.85,103.22
2023-06-06,111.66,101.39,110.39,103.44
2023-06-07,111.58,98.37,109.71,103.24
2023-06-08,111.92,96.93,111.06,102.88
2023-06-09,113.04,97.54,111.24,102.53
2023-06-12,111.89,99.5,112.6,102.38
2023-06-13,114.15,101.83,113.38,102.43
2023-06-14,115.34,101.98,113.58,102.5
2023-06-15,116.73,103.16,113.05,102.47
2023-06-16,118.67,104.38,113.11,102.45
2023-06-19,120.01,103.5,114.07,102.64
2023-06-20,121.45,101.34,114.89,102.8
2023-06-21,121.62,101.41,113.53,102.87
2023-06-22,119.27,99.21,114.73,102.76
2023-06-23,119.09,98.84,114.5,102.91
2023-06-26,117.86,99.63,115.46,102.95
2023-06-27,115.59,97.89,114.67,102.81
2023-06-28,116.04,97.95,115.43,102.7
2023-06-29,115.17,99.52,114.52,102.94
2023-06-30,113.57,100.0,114.69,103.31
2023-07-03,111.97,100.69,114.36,103.21
2023-07-04,112.42,101.88,114.05,102.81
2023-07-05,113.02,104.16,113.42,102.93
2023-07-06,115.14,104.38,113.26,102.75
2023-07-07,115.15,106.04,111.3,102.9
2023-07-10,116.86,105.99,112.31,102.83
2023-07-11,119.19,105.29,113.42,103.27
2023-07-12,121.15,105.74,112.93,103.3
2023-07-13,117.27,104.96,111.39,103.48
2023-07-14,119.32,104.24,110.68,103.24
2023-07-17,119.92,103.47,111.76,102.7
2023-07-18,120.67,100.55,112.48,102.73
2023-07-19,121.32,100.71,112.16,102.78
2023-07-20,122.01,99.15,113.19,102.93
2023-07-21,122.58,99.04,112.03,102.82
2023-07-24,122.01,100.89,111.36,102.58
2023-07-25,118.88,100.26,111.91,102.27
2023-07-26,118.73,99.61,111.81,102.38
2023-07-27,117.45,101.36,111.17,102.52
2023-07-28,119.26,102.09,108.41,102.36
2023-07-31,118.82,103.38,109.16,102.26
2023-08-01,118.99,102.95,109.53,102.12
2023-08-02,117.63,103.95,107.64,101.76
2023-08-03,116.84,103.09,108.31,101.8
2023-08-04,116.86,102.24,108.31,101.97
2023-08-07,114.51,103.04,108.63,101.93
2023-08-08,115.02,102.29,109.69,101.66
2023-08-09,114.89,103.32,108.89,101.63
2023-08-10,113.05,106.51,109.69,101.89
2023-08-11,109.39,104.3,110.46,102.31
2023-08-14,110.2,103.34,111.33,102.36
2023-08-15,109.78,104.84,113.2,102.21
2023-08-16,109.01,104.68,113.97,101.84
2023-08-17,108.69,106.25,113.34,101.54
2023-08-18,111.49,104.94,115.43,101.53
2023-08-21,111.45,105.4,114.17,101.58
2023-08-22,111.61,105.23,113.65,101.63
2023-08-23,109.37,105.45,112.57,101.58
2023-08-24,111.93,105.92,112.47,101.29
2023-08-25,113.4,104.33,113.72,100.99
2023-08-28,115.12,102.96,115.24,101.03
2023-08-29,115.23,104.82,115.79,100.87
2023-08-30,116.74,105.24,115.1,101.12
2023-08-31,117.38,105.41,114.48,100.85
2023-09-01,118.41,105.38,113.8,101.18
2023-09-04,118.2,105.88,114.92,101.05
2023-09-05,115.84,104.38,113.89,101.1
2023-09-06,117.54,103.1,114.9,101.15
2023-09-07,114.47,104.84,114.88,101.08
2023-09-08,114.12,105.07,115.1,100.7
2023-09-11,113.83,106.23,116.88,100.62
2023-09-12,112.23,105.45,116.34,100.91
2023-09-13,113.23,107.33,118.32,100.67
2023-09-14,112.95,107.82,116.67,100.32
2023-09-15,112.3,108.51,115.72,100.29
2023-09-18,113.14,109.29,113.91,100.21
2023-09-19,112.43,108.23,113.07,99.97
2023-09-20,114.65,105.75,113.76,99.83
2023-09-21,115.25,104.35,114.62,99.75
2023-09-22,114.53,106.55,115.0,99.67
2023-09-25,111.51,108.34,115.32,99.71
2023-09-26,109.54,107.9,113.98,99.84
2023-09-27,111.24,107.52,112.49,99.92
2023-09-28,111.2,108.96,112.85,99.99
2023-09-29,110.79,108.76,114.41,100.31
2023-10-02,113.38,107.02,114.01,100.52
2023-10-03,111.42,108.77,112.57,99.97
2023-10-04,110.55,109.46,110.86,99.91
2023-10-05,109.86,106.07,110.12,99.62
2023-10-06,110.79,105.69,111.91,99.49
2023-10-09,109.81,105.91,111.69,99.64
2023-10-10,108.91,106.58,110.54,99.6
2023-10-11,106.55,106.81,109.88,99.53
2023-10-12,107.66,105.99,109.36,99.78
2023-10-13,108.91,105.87,109.67,99.5
2023-10-16,108.22,106.29,108.96,99.49
2023-10-17,108.5,105.96,108.0,99.59
2023-10-18,106.6,105.5,107.82,99.6
2023-10-19,105.94,107.2,108.34,99.39
2023-10-20,108.02,105.96,109.14,99.39
2023-10-23,108.25,105.53,109.77,99.54
2023-10-24,111.81,102.89,109.28,99.61
2023-10-25,110.63,103.62,107.44,99.68
2023-10-26,111.56,104.74,106.6,99.74
2023-10-27,111.29,105.49,106.92,99.77
2023-10-30,112.2,106.75,105.51,99.54
2023-10-31,112.22,107.37,105.79,99.48
2023-11-01,111.38,107.87,105.18,99.57
2023-11-02,110.09,108.54,104.58,98.99
2023-11-03,114.9,108.21,105.78,99.13
2023-11-06,114.81,109.87,106.03,99.2
2023-11-07,111.68,109.42,107.52,99.0
2023-11-08,110.71,107.45,106.53,98.86
2023-11-09,111.79,108.64,107.76,98.83
2023-11-10,111.05,111.23,108.77,98.91
2023-11-13,113.2,109.93,105.55,98.84
2023-11-14,114.82,109.82,105.47,99.07
2023-11-15,114.61,108.9,107.14,99.15
2023-11-16,113.9,108.41,108.0,99.0
2023-11-17,112.36,108.5,107.54,98.92
2023-11-20,111.31,106.85,107.3,98.97
2023-11-21,109.09,106.51,105.92,99.11
2023-11-22,110.96,104.59,106.15,99.24
2023-11-23,113.47,103.87,104.27,99.22
2023-11-24,111.54,102.36,103.22,99.25
2023-11-27,109.76,101.03,104.41,99.25
2023-11-28,107.14,98.89,104.4,99.41
2023-11-29,105.75,100.45,104.03,99.23
2023-11-30,101.32,101.12,103.94,99.35
2023-12-01,99.76,98.74,106.87,99.0
2023-12-04,101.6,98.02,108.0,99.09
2023-12-05,101.15,97.23,107.18,99.14
2023-12-06,102.38,96.41,109.01,99.15
2023-12-07,101.72,94.7,108.93,98.75
2023-12-08,104.26,95.63,109.76,99.05
2023-12-11,104.58,95.18,109.13,99.22
2023-12-12,104.06,95.77,108.12,99.23
2023-12-13,107.84,96.43,109.01,99.32
2023-12-14,107.39,98.14,108.19,99.15
2023-12-15,105.62,95.95,107.35,99.25
2023-12-18,105.95,98.1,108.35,99.54
2023-12-19,105.92,99.71,107.1,99.33
2023-12-20,107.53,100.46,105.59,99.84
2023-12-21,106.2,103.55,106.19,99.76
2023-12-22,107.42,103.85,104.13,99.92
2023-12-25,108.73,104.96,103.36,99.77
2023-12-26,107.76,104.02,102.99,99.84
2023-12-27,108.04,105.54,101.62,99.61
2023-12-28,106.84,105.8,100.5,99.49
2023-12-29,110.4,105.23,101.19,99.45
2024-01-01,109.36,108.1,101.5,99.33
2024-01-02,108.71,107.72,100.56,99.29
2024-01-03,107.15,107.76,101.11,99.47
2024-01-04,106.67,107.52,102.68,99.24
2024-01-05,106.69,106.53,101.38,99.02
2024-01-08,107.86,107.28,101.46,99.03
2024-01-09,106.99,108.31,103.51,98.93
2024-01-10,106.74,108.82,104.17,98.74
2024-01-11,104.7,105.66,105.04,98.77
2024-01-12,103.54,107.04,104.85,98.67
2024-01-15,107.6,106.6,104.02,98.74
2024-01-16,109.2,105.01,105.24,98.73
2024-01-17,108.05,105.84,105.95,98.7
2024-01-18,106.1,106.62,105.92,98.69
2024-01-19,104.71,105.26,105.44,98.89
2024-01-22,104.71,108.62,103.61,99.14
2024-01-23,104.79,107.01,103.79,99.11
2024-01-24,103.75,104.73,103.08,98.92
2024-01-25,101.94,103.24,102.96,98.64
2024-01-26,104.0,105.14,103.67,98.23
2024-01-29,104.69,104.93,104.55,98.02
2024-01-30,104.18,104.47,105.33,97.86
2024-01-31,103.89,104.42,107.76,97.86
2024-02-01,103.16,103.67,109.05,97.51
2024-02-02,99.08,102.8,108.25,97.78
2024-02-05,99.27,102.0,107.38,97.98
2024-02-06,97.83,102.94,109.94,98.21
2024-02-07,96.51,104.3,109.23,98.12
2024-02-08,95.69,102.95,109.19,98.17
2024-02-09,96.69,103.29,111.15,98.0
2024-02-12,95.17,104.35,113.1,98.29
2024-02-13,93.32,102.97,113.06,98.07
2024-02-14,94.18,102.35,113.35,97.98
2024-02-15,95.2,101.05,111.51,98.25
2024-02-16,93.97,99.44,110.51,98.71
2024-02-19,94.74,99.6,110.12,98.7
2024-02-20,94.38,98.71,110.13,98.63
2024-02-21,94.81,99.52,109.79,98.16
2024-02-22,93.19,99.51,109.98,98.49
2024-02-23,94.3,100.06,112.45,98.55
2024-02-26,95.92,99.72,113.0,98.2
2024-02-27,96.8,98.95,113.36,98.37
2024-02-28,97.58,98.87,113.38,98.48
2024-02-29,92.63,98.89,113.2,98.42
2024-03-01,93.0,98.04,114.64,98.32
2024-03-04,92.99,98.6,113.51,98.46
2024-03-05,92.83,99.55,113.39,98.51
2024-03-06,92.05,99.78,112.16,98.6
2024-03-07,92.15,101.99,112.27,98.84
2024-03-08,92.71,101.21,112.42,99.06
2024-03-11,92.4,101.9,113.49,99.21
2024-03-12,91.83,101.4,114.88,99.32
2024-03-13,93.44,101.73,115.67,99.09
2024-03-14,92.05,100.7,117.6,98.88
2024-03-15,93.4,102.16,119.51,99.04
2024-03-18,93.65,102.41,119.91,99.16
2024-03-19,92.64,103.99,120.38,99.26
2024-03-20,92.3,102.37,118.07,99.43
2024-03-21,91.16,101.77,118.47,99.33
2024-03-22,92.04,100.66,118.48,99.44
2024-03-25,92.52,100.01,116.5,99.25
2024-03-26,91.83,99.17,116.01,99.27
2024-03-27,90.47,99.05,117.15,99.45
2024-03-28,90.87,99.05,115.72,99.32
2024-03-29,92.11,99.03,117.25,99.69
2024-04-01,92.0,98.37,117.83,99.91
2024-04-02,92.56,98.63,117.58,100.18
2024-04-03,92.11,99.75,117.43,100.14
2024-04-04,92.22,98.65,118.43,99.88
2024-04-05,91.88,98.68,116.75,99.75
2024-04-08,92.28,98.61,119.2,99.86
2024-04-09,90.4,99.22,118.24,99.81
2024-04-10,91.23,99.17,117.35,99.95
2024-04-11,90.97,99.18,118.82,99.98
2024-04-12,91.45,97.98,119.79,99.88
2024-04-15,91.05,98.03,121.42,100.06
2024-04-16,91.48,96.92,122.72,100.32
2024-04-17,90.16,97.58,123.2,100.18
2024-04-18,91.68,97.48,121.65,100.28
2024-04-19,89.57,97.56,121.09,100.32
2024-04-22,88.32,96.5,121.35,100.37
2024-04-23,88.63,97.51,121.34,100.36
2024-04-24,90.48,98.39,118.88,100.12
2024-04-25,90.85,99.49,120.15,100.39
2024-04-26,90.57,102.35,122.29,100.2
2024-04-29,88.82,102.31,124.12,100.04
2024-04-30,88.62,103.9,122.87,100.17
2024-05-01,88.62,103.77,123.43,100.2
2024-05-02,90.75,104.31,120.83,100.06
2024-05-03,91.56,104.82,122.93,99.94
2024-05-06,89.67,105.2,120.56,99.91
2024-05-07,92.25,106.11,121.08,99.83
2024-05-08,91.77,105.73,122.53,99.96
2024-05-09,90.69,105.82,124.15,99.74
2024-05-10,92.59,106.56,124.6,99.82
2024-05-13,92.55,108.97,122.84,100.11
2024-05-14,92.11,107.85,122.73,100.15
2024-05-15,92.42,105.45,122.42,99.99
2024-05-16,93.53,104.84,122.89,99.85
2024-05-17,94.86,104.98,124.14,99.87
2024-05-20,93.1,105.24,124.99,99.75
2024-05-21,95.74,105.4,127.71,99.99
2024-05-22,97.03,107.01,128.58,99.64
2024-05-23,96.55,108.36,128.1,99.96
2024-05-24,95.49,108.33,130.24,99.58
2024-05-27,94.25,107.72,129.85,99.58
2024-05-28,94.44,107.28,130.24,99.38
2024-05-29,93.62,106.83,130.49,99.53
2024-05-30,92.66,106.55,127.53,99.39
2024-05-31,93.74,104.49,127.91,99.18
2024-06-03,94.24,103.92,128.3,99.12
2024-06-04,93.76,103.39,128.05,99.05
2024-06-05,94.74,103.17,127.88,98.69
2024-06-06,96.58,102.87,126.26,98.78
2024-06-07,95.16,103.77,126.38,98.34
2024-06-10,94.4,103.11,128.33,98.56
2024-06-11,95.67,102.57,128.12,98.5
2024-06-12,96.65,103.3,127.47,98.68
2024-06-13,96.99,103.02,126.71,98.58
2024-06-14,98.59,103.33,129.33,98.43
2024-06-17,97.14,104.24,127.59,98.56
2024-06-18,95.2,104.82,128.7,98.45
2024-06-19,94.09,105.18,128.87,98.17
2024-06-20,94.28,104.95,131.4,98.16
2024-06-21,93.27,105.89,133.17,97.91
2024-06-24,92.68,106.15,133.07,97.91
2024-06-25,91.46,105.51,131.04,98.17
2024-06-26,90.7,105.34,132.96,98.35
2024-06-27,89.48,103.76,134.95,98.35
2024-06-28,89.96,102.54,133.48,98.33
2024-07-01,90.98,100.16,134.5,98.27
2024-07-02,90.41,99.34,133.44,98.16
2024-07-03,90.17,101.05,132.42,98.22
2024-07-04,89.48,100.37,130.31,98.2
2024-07-05,90.17,101.4,131.56,98.13
2024-07-08,90.31,101.43,131.94,98.19
2024-07-09,92.35,100.56,132.62,97.82
2024-07-10,90.99,102.3,134.59,98.18
2024-07-11,91.47,103.08,135.52,98.3
2024-07-12,92.06,100.86,136.34,98.05
2024-07-15,91.63,102.22,137.4,98.07
2024-07-16,92.4,100.87,135.95,97.87
2024-07-17,90.61,100.68,135.92,97.77
2024-07-18,93.34,101.56,134.3,97.61
2024-07-19,91.64,101.2,133.11,97.82
2024-07-22,92.85,102.67,133.01,97.46
2024-07-23,91.44,103.68,134.46,97.4
2024-07-24,92.94,101.67,137.3,97.1
2024-07-25,92.48,101.1,135.82,97.1
2024-07-26,92.71,101.49,136.08,97.05
2024-07-29,92.8,100.78,136.0,96.8
2024-07-30,94.26,100.53,136.75,97.06
2024-07-31,93.87,101.58,137.57,97.35
2024-08-01,90.11,102.02,138.1,97.25
2024-08-02,89.19,100.87,136.78,97.35
2024-08-05,89.45,101.12,137.34,97.33
2024-08-06,88.93,100.37,138.6,97.38
2024-08-07,89.91,98.87,137.91,97.66
2024-08-08,91.21,97.5,140.71,97.62
2024-08-09,91.05,97.88,140.39,97.95
2024-08-12,89.22,97.87,139.52,97.9
2024-08-13,90.98,97.91,139.96,97.89
2024-08-14,92.38,96.53,139.62,98.24
2024-08-15,92.03,96.33,137.73,98.3
2024-08-16,94.78,95.11,137.71,97.93
2024-08-19,94.35,94.03,139.96,97.97
2024-08-20,92.91,93.86,142.84,97.74
2024-08-21,92.73,92.27,142.05,97.43
2024-08-22,94.16,93.07,143.37,97.26
2024-08-23,92.97,96.06,143.58,97.33
2024-08-26,95.55,96.65,144.01,97.13
2024-08-27,94.4,95.41,145.89,96.87
2024-08-28,95.68,95.11,147.17,96.81
2024-08-29,96.44,93.29,147.42,96.89
2024-08-30,96.26,92.88,146.07,96.76
2024-09-02,97.74,93.5,144.44,96.53
2024-09-03,95.76,94.22,144.37,96.14
2024-09-04,97.61,93.03,144.86,96.0
2024-09-05,97.55,93.41,145.62,96.16
2024-09-06,96.85,94.8,146.8,96.34
2024-09-09,97.89,96.95,148.27,96.49
2024-09-10,99.37,96.12,144.75,96.46
2024-09-11,100.46,95.11,146.09,96.49
2024-09-12,103.32,95.2,144.58,96.72
2024-09-13,104.91,91.78,146.23,96.57
2024-09-16,106.82,91.19,146.75,96.64
2024-09-17,106.06,90.91,147.71,96.3
2024-09-18,106.25,90.41,146.93,96.43
2024-09-19,107.11,88.65,147.37,96.35
2024-09-20,107.12,88.4,144.64,96.14
2024-09-23,107.6,87.56,146.27,96.29
2024-09-24,108.27,88.42,145.81,96.09
2024-09-25,109.57,87.43,142.07,95.94
2024-09-26,109.45,87.14,143.62,96.22
2024-09-27,108.96,86.91,146.09,96.03
2024-09-30,107.75,87.56,144.83,95.92
2024-10-01,106.45,84.82,146.63,95.8
2024-10-02,108.23,84.48,145.55,95.94
2024-10-03,108.14,85.32,142.28,95.61
2024-10-04,109.36,84.95,141.79,95.84
2024-10-07,107.44,83.36,142.28,95.8
2024-10-08,104.62,83.72,142.49,95.75
2024-10-09,103.14,84.1,142.66,95.59
2024-10-10,104.83,83.84,143.11,95.57
2024-10-11,106.42,82.65,143.44,95.84
2024-10-14,106.95,81.9,143.15,95.88
2024-10-15,105.8,81.6,142.31,95.71
2024-10-16,105.64,80.73,141.95,95.66
2024-10-17,105.23,78.82,141.47,95.76
2024-10-18,104.76,78.08,141.05,95.77
2024-10-21,101.22,78.04,139.52,95.73
2024-10-22,100.05,77.57,138.78,95.84
2024-10-23,99.82,77.52,138.91,95.91
2024-10-24,101.97,77.62,139.37,95.72
2024-10-25,102.23,78.52,139.3,95.38
2024-10-28,104.26,80.76,139.06,95.47
2024-10-29,103.72,81.53,139.83,95.81
2024-10-30,103.39,80.12,141.0,95.67
2024-10-31,97.98,77.5,141.99,95.65
2024-11-01,98.64,77.43,139.53,95.9
2024-11-04,99.43,77.52,138.91,96.21
2024-11-05,101.92,76.42,139.93,96.23
2024-11-06,101.26,76.7,140.68,96.46
2024-11-07,101.42,75.99,141.66,96.6
2024-11-08,100.47,76.39,142.13,96.5
2024-11-11,98.87,76.1,140.94,96.14
2024-11-12,97.93,76.51,142.71,95.98
2024-11-13,97.49,74.86,140.79,96.05
2024-11-14,99.37,74.47,142.21,96.13
2024-11-15,99.4,74.35,142.21,96.04
2024-11-18,98.35,73.05,140.14,95.89
2024-11-19,98.57,74.83,139.6,95.6
2024-11-20,98.9,74.34,141.32,95.3
2024-11-21,98.01,75.67,140.51,95.29
2024-11-22,99.6,75.06,138.82,95.01
2024-11-25,97.06,74.87,138.44,95.01
2024-11-26,96.8,76.01,137.32,94.87
2024-11-27,97.73,76.33,135.62,94.8
2024-11-28,95.96,76.53,136.24,95.18
2024-11-29,96.47,76.81,137.36,95.19
2024-12-02,98.24,75.52,136.62,95.13
2024-12-03,98.89,75.17,137.37,95.11
2024-12-04,96.63,74.29,136.85,94.85
2024-12-05,95.69,74.5,136.73,95.09
