age,income,debt_ratio,n_defaults,default
69,188,0.468,0,1
48,234,0.46,0,0
49,278,0.339,0,0
62,229,0.418,0,0
63,488,0.448,0,0
70,269,0.338,0,0
74,281,0.504,1,0
28,540,0.011,0,0
42,277,0.445,0,0
71,501,0.195,0,1
36,248,0.494,0,0
20,220,0.316,0,0
51,161,0.217,0,0
61,1023,0.406,0,0
60,344,0.213,0,0
64,456,0.213,0,1
55,397,0.115,0,0
27,437,0.346,0,0
66,414,0.425,0,0
43,1047,0.503,0,0
66,240,0.329,0,0
64,185,0.507,0,0
73,243,0.353,0,0
20,207,0.336,0,0
67,586,0.436,0,1
54,608,0.509,0,0
46,249,0.299,1,0
63,201,0.313,0,0
72,338,0.326,0,1
48,809,0.362,1,1
24,99,0.215,0,0
59,525,0.504,1,0
32,236,0.29,1,0
32,679,0.419,1,0
30,235,0.226,0,0
30,350,0.404,0,0
70,190,0.409,0,1
39,247,0.287,0,0
25,807,0.653,1,0
29,608,0.406,0,0
41,330,0.617,0,0
39,261,0.494,0,0
37,157,0.251,3,0
72,331,0.293,0,1
67,397,0.415,0,0
51,387,0.359,0,0
74,385,0.357,0,0
38,230,0.307,1,0
27,390,0.079,0,0
34,396,0.316,0,0
24,769,0.017,0,0
72,1026,0.406,0,0
32,377,0.241,0,0
44,275,0.243,0,1
31,391,0.317,1,0
73,298,0.391,0,0
28,278,0.135,0,0
48,392,0.088,0,0
72,239,0.19,1,0
48,546,0.044,0,0
69,383,0.205,0,0
69,457,0.589,0,0
62,368,0.192,0,0
60,280,0.448,0,1
51,251,0.144,0,0
51,358,0.395,0,0
65,307,0.302,0,1
43,453,0.341,0,0
72,403,0.435,0,0
68,204,0.613,0,0
40,417,0.379,0,0
42,206,0.369,0,0
59,296,0.204,0,0
70,348,0.438,0,1
25,143,0.313,0,0
23,422,0.475,0,0
33,435,0.343,0,0
43,373,0.611,0,0
28,326,0.053,0,0
48,335,0.306,1,0
49,248,0.482,0,1
72,353,0.297,0,0
61,306,0.231,0,0
33,422,0.31,0,0
63,221,0.143,0,0
64,454,0.368,0,0
57,433,0.716,0,0
57,376,0.522,0,0
37,324,0.184,0,0
59,532,0.219,0,0
27,176,0.289,0,0
54,508,0.501,0,1
70,456,0.227,0,1
73,465,0.246,0,0
36,489,0.483,1,0
38,291,0.48,0,0
54,354,0.294,0,0
41,555,0.182,0,0
60,500,0.118,0,0
31,447,0.245,0,0
29,189,0.015,0,0
22,528,0.462,0,0
45,724,0.255,0,0
31,668,0.422,0,0
36,453,0.63,0,0
70,185,0.526,0,0
64,646,0.177,0,1
66,375,0.48,0,1
52,114,0.524,0,0
26,487,0.238,1,0
61,191,0.207,0,0
53,211,0.334,0,0
69,294,0.11,0,0
46,762,0.571,0,0
29,335,0.0,0,0
52,462,0.184,0,0
45,967,0.31,0,0
56,895,0.316,0,0
40,383,0.375,0,0
36,358,0.391,0,0
26,215,0.318,0,0
72,285,0.521,0,0
61,499,0.029,0,0
45,492,0.35,1,0
32,426,0.243,0,0
54,663,0.37,0,0
42,274,0.383,0,0
54,392,0.213,2,0
24,582,0.254,0,0
30,540,0.469,0,0
60,689,0.402,0,0
23,492,0.248,0,0
57,346,0.656,0,0
42,484,0.696,0,0
20,244,0.131,0,0
62,178,0.395,0,0
58,539,0.726,0,0
64,392,0.468,0,0
69,471,0.383,0,0
60,173,0.319,0,0
66,336,0.269,0,0
26,299,0.318,1,0
70,262,0.267,0,0
70,131,0.462,0,0
58,341,0.29,1,0
64,632,0.284,0,0
60,488,0.17,0,0
68,299,0.343,0,0
68,400,0.216,0,0
48,589,0.323,1,0
64,101,0.506,0,1
70,379,0.405,0,0
36,529,0.426,1,1
22,567,0.403,0,0
29,944,0.359,1,0
21,712,0.331,0,0
43,472,0.304,0,0
21,469,0.464,0,0
34,598,0.187,0,1
33,308,0.551,0,0
58,395,0.355,0,0
33,635,0.238,0,0
72,1074,0.277,0,0
30,373,0.248,0,0
73,394,0.374,0,0
51,446,0.242,0,0
33,790,0.521,0,0
22,397,0.233,0,0
36,841,0.009,0,0
52,249,0.24,0,0
25,368,0.049,0,0
29,365,0.344,0,0
26,598,0.509,0,0
57,680,0.447,0,0
24,190,0.149,0,0
21,255,0.236,0,0
45,477,0.617,0,0
37,290,0.398,0,0
51,188,0.351,2,0
71,678,0.508,0,0
67,516,0.718,0,0
49,516,0.544,0,0
55,318,0.371,1,0
64,675,0.403,0,0
44,358,0.443,0,0
56,698,0.258,0,0
31,256,0.191,0,0
53,263,0.358,1,1
33,447,0.208,0,0
30,284,0.341,0,0
61,566,0.364,1,1
51,459,0.701,0,1
40,254,0.222,2,1
22,418,0.332,1,0
33,338,0.325,0,0
64,638,0.416,0,1
45,294,0.507,0,1
72,324,0.276,1,0
69,739,0.227,0,0
66,1236,0.104,0,0
20,1096,0.211,0,0
22,416,0.43,0,0
51,450,0.357,0,0
38,868,0.198,1,0
66,379,0.294,0,1
37,248,0.355,1,1
28,428,0.426,0,0
26,506,0.261,1,0
36,267,0.312,0,0
54,177,0.077,0,0
26,197,0.177,2,0
63,563,0.593,0,0
36,276,0.022,1,0
37,376,0.299,0,0
56,449,0.383,0,0
67,550,0.294,0,1
43,341,0.229,1,0
63,518,0.341,0,0
36,259,0.349,0,0
27,337,0.338,0,0
65,242,0.068,1,0
62,710,0.328,0,0
61,398,0.222,1,0
68,279,0.268,0,0
47,338,0.384,1,0
30,361,0.446,1,0
52,573,0.485,0,0
51,182,0.276,0,0
41,240,0.489,0,0
55,334,0.526,0,1
34,1431,0.52,0,0
53,651,0.558,0,1
63,382,0.328,0,0
25,576,0.324,0,0
44,1129,0.474,0,0
56,359,0.145,1,0
22,336,0.381,0,0
54,739,0.27,0,0
70,517,0.295,0,0
65,564,0.089,0,0
57,313,0.216,0,0
64,1056,0.347,1,0
39,948,0.483,0,0
37,535,0.499,1,0
24,568,0.338,0,0
59,146,0.322,0,0
37,555,0.225,0,0
67,366,0.41,0,0
45,501,0.313,1,0
69,567,0.441,0,0
27,340,0.613,1,0
28,173,0.345,0,0
39,485,0.125,0,0
21,278,0.221,0,0
47,342,0.131,0,0
55,298,0.17,0,0
56,340,0.546,0,1
31,127,0.384,0,0
29,741,0.122,1,0
51,458,0.448,0,1
54,703,0.539,1,0
71,1086,0.296,0,0
69,408,0.249,0,0
40,164,0.299,0,0
28,258,0.393,1,0
33,221,0.446,0,0
68,314,0.527,0,0
45,420,0.532,0,1
74,148,0.528,1,1
56,479,0.554,0,0
52,190,0.449,0,0
25,468,0.12,0,0
52,382,0.33,0,0
40,345,0.397,0,0
66,389,0.293,0,0
27,308,0.487,0,0
30,297,0.296,2,0
56,174,0.211,1,1
57,397,0.567,0,0
65,1015,0.45,1,0
48,1086,0.383,0,0
40,781,0.489,1,1
